#info;12:53:10.251;44449.536924201384;sensor;9;Gravity;accuracy;3
9;12:02:16.238;44449.501576828705;-3.982;3.562;8.224;9.807
9;12:02:16.444;44449.50157921296;-2.321;2.454;9.207;9.807
9;12:02:16.586;44449.50158085648;-2.216;2.324;9.266;9.807
9;12:02:16.732;44449.5015825463;-2.182;2.331;9.272;9.807
9;12:02:16.848;44449.501583888894;-2.068;2.189;9.333;9.807
9;12:02:16.971;44449.5015853125;-1.914;2.285;9.343;9.807
9;12:02:17.111;44449.50158693287;-1.555;2.232;9.422;9.807
9;12:02:17.225;44449.501588252315;-0.955;2.913;9.315;9.807
9;12:02:17.366;44449.501589884254;-1.142;3.541;9.073;9.807
9;12:02:17.485;44449.50159126158;-1.009;2.977;9.289;9.807
9;12:02:17.606;44449.50159266204;-1.084;2.794;9.337;9.807
9;12:02:17.746;44449.50159428241;-0.946;2.510;9.433;9.807
9;12:02:17.868;44449.50159569444;-1.386;2.395;9.408;9.807
9;12:02:18.006;44449.501597291666;-1.384;2.359;9.417;9.807
9;12:02:18.130;44449.501598726856;-1.227;2.158;9.487;9.807
9;12:02:18.245;44449.50160005787;-1.283;2.122;9.488;9.807
9;12:02:18.386;44449.501601689815;-1.336;2.192;9.465;9.807
9;12:02:18.510;44449.501603125;-1.264;2.159;9.482;9.807
9;12:02:18.646;44449.50160469908;-1.277;2.196;9.472;9.807
9;12:02:18.765;44449.50160607639;-1.213;2.325;9.450;9.807
9;12:02:18.887;44449.501607488426;-1.282;2.508;9.393;9.807
9;12:02:19.028;44449.50160912037;-1.188;2.478;9.414;9.807
9;12:02:19.148;44449.50161050926;-1.193;2.482;9.412;9.807
9;12:02:19.285;44449.50161209491;-1.167;2.491;9.413;9.807
9;12:02:19.406;44449.50161349537;-1.280;2.600;9.369;9.807
9;12:02:19.526;44449.501614884255;-1.323;2.802;9.304;9.807
9;12:02:19.668;44449.50161652778;-0.652;4.011;8.925;9.807
9;12:02:19.789;44449.50161792824;-1.000;1.716;9.603;9.807
9;12:02:19.928;44449.50161953704;-0.968;3.259;9.199;9.807
9;12:02:20.044;44449.50162087963;-0.942;2.772;9.359;9.807
9;12:02:20.163;44449.50162225694;-1.170;2.709;9.352;9.807
9;12:02:20.304;44449.50162388889;-1.104;2.188;9.495;9.807
9;12:02:20.425;44449.501625289355;-1.248;1.909;9.538;9.807
9;12:02:20.569;44449.501626956015;-1.487;1.651;9.552;9.807
9;12:02:20.686;44449.50162831019;-1.759;1.810;9.476;9.807
