#info;12:02:16.237;44449.50157681713;sensor;11;Rotation Vector;accuracy;3
11;12:02:16.237;44449.50157681713;0.219;0.180;-0.146;0.948;3.142
11;12:02:16.445;44449.50157922454;0.115;0.132;0.092;0.980;3.142
11;12:02:16.585;44449.50158084491;0.106;0.128;0.117;0.979;3.142
11;12:02:16.731;44449.50158253472;0.106;0.127;0.123;0.979;3.142
11;12:02:16.848;44449.501583888894;0.095;0.123;0.152;0.976;3.142
11;12:02:16.966;44449.501585254635;0.100;0.119;0.169;0.973;3.142
11;12:02:17.107;44449.501586886574;0.092;0.105;0.239;0.961;3.142
11;12:02:17.225;44449.501588252315;0.131;0.088;0.269;0.950;3.142
11;12:02:17.369;44449.50158991898;0.167;0.097;0.210;0.958;3.142
11;12:02:17.487;44449.50159128472;0.135;0.090;0.257;0.953;3.142
11;12:02:17.610;44449.50159270833;0.124;0.092;0.260;0.953;3.142
11;12:02:17.750;44449.5015943287;0.109;0.085;0.298;0.944;3.142
11;12:02:17.867;44449.50159568287;0.102;0.100;0.247;0.959;3.142
11;12:02:18.010;44449.50159733796;0.100;0.099;0.247;0.959;3.142
11;12:02:18.135;44449.50159878472;0.088;0.092;0.284;0.950;3.142
11;12:02:18.246;44449.501600069445;0.087;0.093;0.273;0.954;3.142
11;12:02:18.384;44449.50160166666;0.092;0.095;0.249;0.960;3.142
11;12:02:18.506;44449.50160307871;0.091;0.092;0.245;0.961;3.142
11;12:02:18.648;44449.50160472222;0.095;0.090;0.227;0.965;3.142
11;12:02:18.771;44449.50160614583;0.105;0.085;0.195;0.971;3.142
11;12:02:18.888;44449.5016075;0.120;0.082;0.127;0.981;3.142
11;12:02:19.029;44449.50160913194;0.122;0.071;0.079;0.987;3.142
11;12:02:19.147;44449.50161049768;0.128;0.061;-0.003;0.990;3.142
11;12:02:19.286;44449.501612106484;0.133;0.050;-0.078;0.987;3.142
11;12:02:19.407;44449.501613506945;0.144;0.038;-0.196;0.969;3.142
11;12:02:19.526;44449.501614884255;0.157;0.031;-0.241;0.957;3.142
11;12:02:19.670;44449.50161655093;0.212;0.013;-0.096;0.973;3.142
11;12:02:19.784;44449.501617870366;0.105;-0.011;-0.581;0.807;3.142
11;12:02:19.931;44449.50161957176;0.176;-0.014;-0.354;0.919;3.142
11;12:02:20.044;44449.50162087963;0.147;-0.035;-0.526;0.837;3.142
11;12:02:20.166;44449.50162229167;0.148;-0.037;-0.603;0.783;3.142
11;12:02:20.304;44449.50162388889;0.116;-0.049;-0.754;0.645;3.142
11;12:02:20.425;44449.501625289355;0.110;-0.040;-0.796;0.594;3.142
11;12:02:20.570;44449.5016269676;0.111;-0.027;-0.823;0.556;3.142
11;12:02:20.689;44449.50162834491;0.129;-0.015;-0.768;0.627;3.142
11;12:02:20.806;44449.50162969907;0.126;-0.012;-0.779;0.614;3.142
11;12:02:20.950;44449.50163136574;0.129;0.005;-0.817;0.562;3.142
11;12:02:21.069;44449.50163274306;0.135;0.010;-0.819;0.557;3.142
11;12:02:21.204;44449.501634305554;0.143;0.005;-0.767;0.625;3.142
11;12:02:21.324;44449.50163569444;0.135;-0.015;-0.771;0.623;3.142
11;12:02:21.449;44449.501637141206;0.176;-0.001;-0.389;0.904;3.142
11;12:02:21.584;44449.5016387037;0.178;-0.017;-0.411;0.894;3.142
11;12:02:21.708;44449.501640138886;0.201;-0.016;-0.338;0.920;3.142
11;12:02:21.849;44449.50164177083;0.165;-0.030;-0.536;0.828;3.142
11;12:02:21.966;44449.501643125;0.163;-0.017;-0.425;0.890;3.142
11;12:02:22.090;44449.50164456019;0.197;0.001;-0.389;0.900;3.142
